x,y,z,corriente,tiempo,operador
0.5,-0.4,-0.7,1.46,29.99,
0.29,-0.24,-0.69,1.59,30.63,
-0.47,-0.39,-0.97,1.69,31.02,
-0.36,-0.4,-1.08,1.76,31.49,
0.42,-0.44,-1.26,1.83,31.81,
0.42,-0.48,-1.22,1.88,32.55,
0.24,-0.82,-0.96,1.92,32.96,
0.28,-0.69,-0.75,1.97,34.30,
0.3,-0.7,-0.69,2.01,34.31,
0.37,-0.58,-0.66,2.07,34.72,
-0.13,-0.28,-0.73,2.63,35.12,
-0.13,-0.39,-0.75,3.4,35.36,
-0.06,-0.35,-0.8,3.95,36.15,
-0.36,-0.45,-1.01,4.32,36.47,
0.24,-0.47,-1.17,4.54,37.53,
0.37,-0.48,-1.29,4.69,37.98,
0.38,-0.53,-1.22,4.76,37.98,
0.42,-0.71,-1.03,4.81,38.80,
0.28,-0.65,-0.69,4.84,39.01,
0.46,-0.53,-0.65,4.85,39.83,
0.54,-0.47,-0.75,4.84,40.12,
0.58,-0.32,-0.73,4.82,40.65,
-0.19,-0.53,-0.84,4.8,41.28,
-0.39,-0.47,-0.97,4.78,41.66,
-0.31,-0.41,-1.03,4.72,41.97,
-0.06,-0.41,-1.13,4.68,42.42,
0.47,-0.44,-1.22,4.63,42.76,
0.42,-0.62,-1.26,4.55,43.20,
0.38,-0.69,-1.01,4.51,43.82,
0.37,-0.75,-0.87,4.49,44.67,
0.29,-0.57,-0.71,4.19,45.15,
0.34,-0.53,-0.67,3.39,45.56,
0.47,-0.44,-0.66,2.79,45.97,
0.58,-0.32,-0.7,2.36,46.78,
-0.27,-0.39,-1,2.11,47.09,
-0.18,-0.43,-1.08,1.93,47.91,
0.11,-0.32,-1.18,1.83,48.11,
0.34,-0.43,-1.3,1.76,48.36,
0.33,-0.74,-0.83,1.71,49.06,
0.24,-0.71,-0.8,1.88,49.28,
0.24,-0.62,-0.66,2.19,50.16,
0.5,-0.49,-0.75,2.65,50.47,
0.29,-0.4,-0.74,2.99,50.72,
-0.09,-0.49,-0.86,3.22,51.48,
-0.4,-0.41,-1.05,3.38,52.31,
-0.36,-0.32,-1.05,3.48,52.57,
0.37,-0.37,-1.22,3.54,53.24,
0.37,-0.37,-1.23,3.59,53.65,
0.43,-0.5,-1.25,3.62,54.06,
0.41,-0.49,-1.22,3.63,54.65,
0.42,-0.74,-0.93,3.62,55.10,
0.36,-0.75,-0.97,3.58,55.28,
0.28,-0.79,-0.88,3.53,56.00,
0.24,-0.65,-0.74,3.47,56.62,
0.51,-0.62,-0.74,3.36,57.05,
0.33,-0.61,-0.74,3.28,57.64,
0.42,-0.44,-0.66,3.15,58.07,
-0.19,-0.35,-0.92,3.05,58.40,
0.19,-0.66,-0.99,2.97,58.81,
0.34,-0.45,-0.96,2.87,59.89,
0.34,-0.52,-0.93,2.68,60.49,
0.15,-0.52,-0.95,2.25,60.49,
0.08,-0.49,-0.99,1.86,61.22,
0.08,-0.49,-0.96,1.61,61.56,
0.17,-0.53,-0.96,1.43,62.00,
0.24,-0.49,-0.97,1.31,62.66,
0.3,-0.54,-0.95,1.23,62.81,
0.26,-0.49,-0.92,1.15,63.48,
0.17,-0.53,-0.99,1.1,64.17,
0.04,-0.43,-0.95,1.07,64.91,
0.07,-0.45,-0.96,1.08,65.22,
0.17,-0.52,-0.92,1.09,65.67,
0.2,-0.57,-0.95,1.09,66.15,
0.2,-0.45,-0.96,1.06,66.55,
0.25,-0.48,-0.96,1.02,67.27,
0.21,-0.49,-0.92,1.03,67.56,
0.21,-0.57,-0.88,1.04,68.40,
0.19,-0.48,-0.96,1.05,68.81,
0.17,-0.49,-0.96,1.07,69.04,
0.16,-0.53,-0.99,1.08,69.56,
0.2,-0.57,-0.97,1.09,70.22,
0.2,-0.48,-0.96,1.09,70.59,
0.25,-0.48,-1,1.08,71.10,
0.16,-0.53,-0.92,1.08,71.57,
0.12,-0.48,-0.95,1.1,72.50,
0.2,-0.5,-0.87,1.13,72.90,
0.19,-0.57,-0.95,1.16,73.31,
0.37,-0.44,-0.93,1.33,73.72,
0.08,-0.31,-0.69,1.55,73.98,
-0.44,-0.4,-1.08,1.71,74.64,
0.42,-0.74,-1.3,1.85,74.84,
0.47,-0.94,-1.12,1.98,75.30,
0.24,-0.75,-0.95,2.11,76.07,
0.04,-0.56,-1,2.26,76.69,
0.47,-0.54,-0.58,2.41,77.22,
0.68,-0.62,-0.57,2.51,77.54,
0.59,-0.6,-0.61,2.58,77.86,
-0.13,-0.48,-0.82,2.64,78.50,
-0.09,-0.14,-1.26,2.68,78.92,
-0.15,-0.18,-1.27,2.73,79.34,
0.43,-0.53,-1.3,2.77,79.71,
0.55,-0.87,-1.17,2.8,80.49,
0.17,-0.66,-1.05,2.83,80.87,
0.04,-0.41,-0.95,2.85,81.51,
0.41,-0.44,-0.82,2.85,82.22,
0.55,-0.56,-0.65,2.85,82.57,
0.03,-0.49,-0.77,2.88,83.25,
-0.44,-0.44,-1.04,2.77,83.64,
-0.53,-0.15,-1.18,2.53,84.14,
0.12,-0.32,-1.33,2.29,84.42,
0.51,-0.87,-1.09,2.13,85.45,
0.42,-0.99,-1.12,2.01,85.45,
0.25,-0.86,-1.04,1.93,86.21,
0.16,-0.54,-0.92,1.84,86.52,
0.54,-0.62,-0.69,1.76,86.97,
0.47,-0.57,-0.66,1.7,87.60,
0.54,-0.57,-0.57,1.66,87.83,
0.47,-0.61,-0.61,1.6,88.67,
-0.31,-0.24,-1.14,1.55,88.98,
-0.19,-0.18,-1.23,1.41,89.74,
-0.02,-0.31,-1.26,1.31,90.20,
0.39,-0.65,-1.26,1.24,90.52,
0.29,-0.75,-0.95,1.2,91.24,
0.19,-0.66,-1,1.2,91.93,
-0.01,-0.4,-0.96,1.2,92.38,
0.29,-0.44,-0.78,1.21,92.77,
0.64,-0.62,-0.57,1.2,92.94,
0.2,-0.4,-0.57,1.19,93.79,
-0.24,-0.61,-0.87,1.18,94.20,
-0.57,-0.3,-1.13,1.15,94.47,
0.32,-0.48,-1.29,1.16,95.19,
0.46,-0.71,-1.25,1.17,95.58,
0.47,-0.93,-1.14,1.16,96.46,
0.33,-0.92,-1.08,1.16,96.67,
0.33,-0.43,-0.83,1.16,97.06,
0.41,-0.53,-0.83,1.25,97.99,
0.45,-0.6,-0.66,1.39,98.40,
0.47,-0.52,-0.6,1.49,98.91,
-0.52,-0.4,-0.95,1.55,99.26,
-0.32,-0.33,-1.08,1.63,99.45,
-0.3,-0.21,-1.3,1.7,100.25,
-0.06,-0.19,-1.31,1.75,100.53,
0.51,-0.92,-1.16,1.79,101.37,
0.38,-0.87,-1.04,1.79,101.61,
0.34,-0.73,-1,1.85,101.78,
0.2,-0.71,-1.04,1.9,102.59,
0.25,-0.43,-0.74,2.04,103.11,
0.5,-0.48,-0.71,2.3,103.86,
0.64,-0.54,-0.64,2.7,104.11,
0.2,-0.48,-0.48,3.1,104.54,
-0.51,-0.27,-1.17,3.35,105.21,
-0.48,-0.09,-1.25,3.53,105.30,
0.17,-0.36,-1.42,3.66,106.01,
0.5,-0.66,-1.26,3.74,106.58,
0.25,-0.86,-1.08,3.79,107.42,
0,-0.65,-0.99,3.81,108.27,
0.34,-0.48,-0.91,3.81,108.50,
0.41,-0.53,-0.78,3.81,108.50,
0.25,-0.48,-0.52,3.82,109.36,
-0.44,-0.45,-0.75,3.8,109.60,
-0.4,-0.31,-0.97,3.78,110.08,
-0.37,-0.21,-1.3,3.74,110.67,
0.38,-0.76,-0.91,3.7,111.02,
0.24,-0.57,-0.87,3.65,111.59,
0.07,-0.43,-0.96,3.52,112.03,
0.07,-0.48,-0.96,3.4,113.11,
0.2,-0.52,-0.91,3.29,113.11,
0.3,-0.57,-0.92,3.14,114.19,
0.3,-0.53,-0.95,2.82,114.21,
0.24,-0.57,-0.99,2.35,114.57,
0.2,-0.52,-1.01,2.03,115.33,
0.11,-0.57,-1,1.78,115.44,
0.03,-0.44,-0.97,1.67,116.02,
0.16,-0.53,-0.96,1.59,116.67,
0.2,-0.53,-0.95,1.53,117.19,
0.26,-0.57,-0.96,1.49,117.68,
0.21,-0.61,-0.95,1.47,117.91,
0.17,-0.56,-0.96,1.45,118.72,
0.08,-0.48,-0.99,1.41,118.92,
0.08,-0.52,-1,1.33,119.59,
