x,y,z,corriente,tiempo,operador
0.68,-0.13,-0.58,2.12,29.36,
0.68,-0.13,-0.62,2.44,29.77,
0.63,-0.17,-0.62,2.92,30.28,
0.67,-0.14,-0.61,3.27,31.00,
0.68,-0.18,-0.57,3.49,31.16,
0.68,-0.15,-0.61,3.66,31.97,
0.67,-0.14,-0.62,3.78,32.42,
0.64,-0.14,-0.6,3.86,33.05,
0.66,-0.1,-0.65,3.94,33.24,
0.67,-0.11,-0.65,3.98,33.77,
0.67,-0.1,-0.61,4.02,34.40,
0.64,-0.15,-0.58,4.07,34.87,
0.68,-0.15,-0.58,4.11,35.30,
0.67,-0.11,-0.6,4.14,36.08,
0.62,-0.15,-0.61,4.16,36.40,
0.64,-0.11,-0.61,4.21,36.94,
0.68,-0.09,-0.64,4.33,37.34,
0.67,-0.11,-0.58,4.46,38.06,
0.67,-0.14,-0.62,4.59,38.26,
0.63,-0.14,-0.58,4.56,38.70,
0.69,-0.14,-0.6,4.47,39.50,
0.65,-0.11,-0.65,4.31,39.70,
0.65,-0.13,-0.64,3.73,40.56,
0.63,-0.14,-0.62,3.32,41.03,
0.67,-0.14,-0.6,3.04,41.23,
0.67,-0.19,-0.57,2.84,42.16,
0.59,-0.18,-0.57,2.7,42.22,
0.6,-0.09,-0.58,2.53,42.65,
0.67,-0.1,-0.58,2.41,43.48,
0.65,-0.14,-0.62,2.28,43.69,
0.62,-0.15,-0.62,2.33,44.41,
0.64,-0.18,-0.61,2.37,44.92,
0.63,-0.15,-0.57,2.4,45.66,
0.67,-0.13,-0.57,2.42,45.92,
0.69,-0.15,-0.61,2.34,46.46,
0.67,-0.17,-0.58,2.29,46.57,
0.67,-0.13,-0.57,2.21,47.39,
0.64,-0.1,-0.62,2.13,47.79,
0.67,-0.09,-0.61,2.05,48.30,
0.63,-0.15,-0.62,2,48.93,
0.67,-0.11,-0.61,1.96,49.33,
0.63,-0.14,-0.6,1.94,49.65,
0.67,-0.13,-0.6,1.92,50.77,
0.64,-0.14,-0.61,1.93,50.84,
0.67,-0.13,-0.58,1.94,51.47,
0.64,-0.18,-0.57,1.94,51.68,
0.68,-0.13,-0.61,1.94,52.29,
0.64,-0.14,-0.62,1.95,52.91,
0.68,-0.14,-0.6,1.95,53.32,
0.63,-0.17,-0.57,1.97,53.73,
0.68,-0.17,-0.6,1.81,54.34,
0.68,-0.13,-0.62,1.7,55.16,
0.68,-0.11,-0.61,1.62,55.48,
0.6,-0.13,-0.57,1.56,55.75,
0.63,-0.11,-0.61,1.47,56.29,
0.68,-0.17,-0.61,1.41,57.21,
0.67,-0.14,-0.57,1.37,57.82,
0.71,-0.1,-0.58,1.39,58.55,
0.64,-0.13,-0.6,1.4,58.66,
0.67,-0.13,-0.61,1.4,59.26,
0.64,-0.15,-0.57,1.36,60.08,
0.63,-0.18,-0.61,1.34,60.36,
0.67,-0.19,-0.57,1.3,61.00,
0.68,-0.18,-0.62,1.26,61.31,
0.66,-0.1,-0.61,1.24,62.02,
0.63,-0.14,-0.54,1.21,62.50,
0.64,-0.19,-0.57,1.19,62.81,
0.68,-0.13,-0.58,1.17,63.35,
0.64,-0.15,-0.6,1.11,63.97,
0.66,-0.18,-0.62,1.09,64.48,
0.67,-0.15,-0.62,1.12,64.83,
0.64,-0.18,-0.53,1.14,65.49,
0.63,-0.18,-0.61,1.15,66.12,
0.68,-0.14,-0.65,1.16,68.79,
0.68,-0.14,-0.62,1.17,68.92,
0.66,-0.14,-0.62,1.15,68.92,
0.63,-0.14,-0.58,1.16,69.17,
0.6,-0.15,-0.62,1.16,69.38,
0.64,-0.15,-0.58,1.2,69.60,
0.59,-0.18,-0.61,1.22,70.21,
0.65,-0.14,-0.57,1.26,70.83,
0.68,-0.14,-0.61,1.24,71.34,
0.67,-0.1,-0.62,1.27,72.06,
0.67,-0.18,-0.61,1.29,72.26,
0.63,-0.13,-0.65,1.3,72.88,
0.68,-0.14,-0.58,1.32,73.39,
0.63,-0.14,-0.61,1.33,73.90,
0.64,-0.14,-0.57,1.34,74.28,
0.64,-0.13,-0.58,1.33,74.82,
0.63,-0.09,-0.61,1.39,75.23,
0.62,-0.22,-0.61,1.43,76.06,
0.64,-0.14,-0.57,1.46,76.24,
0.63,-0.18,-0.6,1.48,76.98,
0.67,-0.13,-0.61,1.49,77.29,
0.62,-0.17,-0.58,1.5,77.79,
0.63,-0.15,-0.54,1.44,78.41,
0.64,-0.15,-0.61,1.36,78.92,
0.72,-0.13,-0.62,1.3,79.13,
0.67,-0.14,-0.61,1.25,80.05,
0.58,-0.19,-0.57,1.22,80.25,
0.67,-0.13,-0.62,1.21,80.97,
0.67,-0.15,-0.61,1.19,81.25,
0.56,-0.19,-0.58,1.17,81.99,
0.6,-0.15,-0.63,1.18,82.43,
0.64,-0.13,-0.65,1.21,82.71,
0.64,-0.17,-0.57,1.22,83.53,
0.68,-0.17,-0.63,1.22,83.81,
0.68,-0.18,-0.58,1.22,84.65,
0.66,-0.15,-0.65,1.3,84.85,
0.68,-0.14,-0.61,1.3,85.26,
0.68,-0.15,-0.58,1.31,86.09,
0.64,-0.17,-0.64,1.31,86.40,
0.67,-0.17,-0.61,1.53,86.91,
0.64,-0.14,-0.61,1.69,87.42,
0.64,-0.14,-0.62,1.81,87.94,
0.64,-0.11,-0.58,1.89,88.34,
0.59,-0.14,-0.62,2.18,88.85,
0.59,-0.18,-0.61,2.54,89.26,
0.63,-0.14,-0.61,2.82,90.08,
0.68,-0.22,-0.57,3.02,90.29,
0.59,-0.1,-0.61,3.14,91.10,
0.72,-0.1,-0.61,3.33,91.31,
0.67,-0.11,-0.58,3.56,91.82,
0.66,-0.11,-0.58,3.81,92.44,
0.64,-0.1,-0.65,4.05,93.15,
0.69,-0.17,-0.62,4.22,93.52,
0.59,-0.18,-0.61,4.35,93.94,
0.67,-0.09,-0.66,4.51,94.69,
0.68,-0.11,-0.62,4.58,95.05,
0.68,-0.1,-0.66,4.68,95.36,
0.64,-0.15,-0.62,4.78,95.81,
0.63,-0.18,-0.61,4.83,96.33,
0.59,-0.14,-0.62,4.91,96.94,
0.67,-0.06,-0.62,5,97.54,
0.67,-0.19,-0.52,5.08,97.77,
0.71,-0.22,-0.65,5.13,98.39,
0.62,-0.18,-0.61,5.14,98.79,
0.72,-0.14,-0.6,5.15,99.40,
0.64,-0.13,-0.69,5.15,100.02,
0.62,-0.15,-0.58,5.15,100.22,
0.58,-0.18,-0.58,5.19,100.83,
0.71,-0.18,-0.57,5.12,101.55,
0.67,-0.11,-0.66,4.98,101.86,
0.67,-0.18,-0.57,4.66,102.47,
0.63,-0.1,-0.65,4.42,102.85,
0.64,-0.13,-0.58,4.26,103.20,
0.67,-0.18,-0.61,4.01,104.01,
0.64,-0.1,-0.64,3.46,104.22,
0.64,-0.19,-0.61,3.1,105.03,
0.62,-0.14,-0.61,2.98,105.34,
0.58,-0.17,-0.61,2.93,106.06,
0.63,-0.13,-0.61,2.84,106.33,
0.68,-0.14,-0.6,2.78,106.87,
0.65,-0.13,-0.58,2.76,107.49,
0.68,-0.18,-0.58,2.77,107.90,
0.67,-0.17,-0.58,2.77,108.31,
0.66,-0.13,-0.62,2.78,108.72,
0.64,-0.17,-0.58,2.77,109.64,
0.58,-0.13,-0.62,2.8,109.70,
0.64,-0.14,-0.61,2.81,110.46,
0.62,-0.13,-0.62,2.8,110.84,
0.67,-0.11,-0.62,2.79,111.69,
0.69,-0.19,-0.58,2.76,112.10,
0.67,-0.14,-0.57,2.74,112.20,
0.67,-0.19,-0.61,2.69,112.92,
0.64,-0.13,-0.61,2.65,113.53,
0.59,-0.18,-0.53,2.63,113.82,
0.72,-0.14,-0.65,2.62,114.56,
0.67,-0.14,-0.61,2.84,114.85,
0.64,-0.1,-0.62,2.94,115.38,
0.62,-0.21,-0.61,2.99,115.79,
0.6,-0.15,-0.58,2.98,116.81,
0.65,-0.18,-0.58,2.99,116.81,
0.68,-0.1,-0.62,3.02,117.53,
0.63,-0.1,-0.63,3.05,117.79,
0.67,-0.11,-0.65,3.13,118.55,
0.55,-0.14,-0.62,3.2,118.76,
0.66,-0.06,-0.62,3.26,120.29,
0.68,-0.14,-0.61,3.29,120.36,
0.64,-0.14,-0.62,3.31,120.54,
0.68,-0.15,-0.66,3.36,120.92,
0.67,-0.18,-0.61,3.39,121.25,
0.71,-0.19,-0.65,3.43,121.79,
0.72,-0.18,-0.69,3.45,122.55,
0.71,-0.01,-0.62,3.47,122.82,
0.69,-0.11,-0.65,3.48,123.30,
0.51,-0.13,-0.62,3.5,123.88,
0.64,-0.1,-0.66,3.53,124.59,
0.62,-0.11,-0.56,3.35,125.39,
0.64,-0.15,-0.58,3.05,125.82,
0.56,-0.15,-0.58,2.2,126.50,
0.68,-0.14,-0.65,2.08,126.74,
0.68,-0.14,-0.54,2.02,127.26,
0.64,-0.18,-0.65,1.97,128.07,
0.63,-0.13,-0.62,2.02,128.35,
0.6,-0.18,-0.58,2.08,128.89,
0.67,-0.14,-0.62,2.17,129.61,
0.64,-0.15,-0.57,2.25,129.88,
0.64,-0.13,-0.66,2.29,130.63,
0.67,-0.15,-0.65,2.31,131.10,
0.59,-0.15,-0.54,2.33,131.73,
0.64,-0.13,-0.62,2.38,132.48,
0.59,-0.19,-0.61,2.43,132.88,
0.66,-0.19,-0.66,2.46,133.29,
0.63,-0.19,-0.61,2.48,133.70,
0.64,-0.15,-0.57,2.51,134.83,
0.63,-0.26,-0.53,2.53,135.25,
0.59,-0.13,-0.61,2.55,135.65,
0.63,-0.1,-0.62,2.57,135.87,
0.68,-0.18,-0.66,2.62,136.27,
0.55,-0.1,-0.61,2.65,136.62,
0.64,-0.13,-0.66,2.52,137.49,
0.6,-0.14,-0.65,2.37,138.53,
0.63,-0.15,-0.65,2.27,138.53,
0.62,-0.22,-0.61,1.82,139.04,
0.64,-0.1,-0.62,1.69,139.24,
0.68,-0.18,-0.54,1.61,139.82,
0.62,-0.11,-0.62,1.55,140.36,
0.64,-0.15,-0.61,1.53,140.87,
0.64,-0.14,-0.61,1.52,141.69,
0.63,-0.15,-0.62,1.48,142.20,
0.63,-0.15,-0.62,1.46,142.21,
0.62,-0.15,-0.62,1.44,142.82,
0.64,-0.14,-0.61,1.43,143.33,
0.62,-0.15,-0.62,1.42,143.75,
0.64,-0.15,-0.61,1.44,144.35,
0.63,-0.15,-0.62,1.44,144.87,
0.64,-0.15,-0.61,1.43,145.28,
0.63,-0.15,-0.62,1.4,145.79,
0.64,-0.15,-0.62,1.4,146.81,
0.64,-0.15,-0.61,1.44,147.02,
0.65,-0.14,-0.61,1.46,147.23,
0.64,-0.15,-0.62,1.48,147.88,
0.64,-0.15,-0.61,1.46,148.35,
0.64,-0.15,-0.61,1.46,148.86,
0.64,-0.14,-0.61,1.46,149.37,
0.63,-0.15,-0.62,1.43,150.09,
0.63,-0.15,-0.61,1.41,150.22,
0.63,-0.15,-0.62,1.4,150.81,
0.64,-0.14,-0.61,1.4,151.42,
0.64,-0.17,-0.61,1.42,151.93,
0.64,-0.15,-0.61,1.44,152.34,
0.63,-0.15,-0.62,1.46,152.85,
0.64,-0.14,-0.61,1.48,153.53,
0.63,-0.19,-0.65,1.5,153.78,
0.67,-0.1,-0.62,1.48,154.39,
0.68,-0.14,-0.61,1.46,155.00,
0.66,-0.1,-0.69,1.45,155.31,
0.64,-0.14,-0.66,1.41,155.83,
0.64,-0.17,-0.57,1.35,156.64,
0.64,-0.26,-0.53,1.39,156.90,
0.64,-0.23,-0.61,1.57,157.46,
0.62,-0.19,-0.61,1.79,157.87,
0.63,-0.14,-0.6,1.96,158.37,
0.65,-0.09,-0.65,2.07,158.91,
0.64,-0.11,-0.58,2.18,159.40,
0.64,-0.14,-0.65,2.25,159.81,
0.64,-0.22,-0.61,2.33,160.32,
0.6,-0.24,-0.58,2.38,160.83,
0.66,-0.18,-0.58,2.44,161.34,
0.63,-0.15,-0.61,2.49,161.86,
0.63,-0.17,-0.62,2.52,162.37,
0.64,-0.18,-0.62,2.56,163.09,
0.64,-0.15,-0.61,2.59,163.29,
0.63,-0.17,-0.62,2.61,163.68,
0.64,-0.17,-0.61,2.63,164.32,
0.63,-0.15,-0.62,2.66,164.94,
0.64,-0.14,-0.61,2.7,165.44,
0.62,-0.15,-0.62,2.72,165.87,
0.62,-0.15,-0.62,2.74,166.69,
0.64,-0.15,-0.61,2.71,167.18,
0.63,-0.17,-0.62,2.56,167.69,
0.63,-0.15,-0.62,2.3,168.32,
0.63,-0.15,-0.62,2.07,168.72,
0.64,-0.15,-0.61,1.89,169.13,
0.64,-0.15,-0.61,1.78,169.74,
0.63,-0.15,-0.61,1.71,170.66,
0.67,-0.21,-0.62,1.65,170.97,
0.64,-0.1,-0.62,1.61,171.28,
0.62,-0.22,-0.61,1.58,171.69,
0.66,-0.15,-0.62,1.48,172.50,
0.63,-0.15,-0.62,1.45,172.92,
0.64,-0.15,-0.62,1.43,173.39,
0.6,-0.15,-0.62,1.43,173.94,
0.63,-0.15,-0.62,1.42,174.31,
0.63,-0.18,-0.62,1.4,174.87,
0.66,-0.15,-0.61,1.37,175.37,
0.64,-0.15,-0.61,1.35,175.92,
0.63,-0.17,-0.62,1.33,176.29,
0.63,-0.15,-0.61,1.28,176.91,
0.64,-0.14,-0.61,1.22,177.42,
0.63,-0.14,-0.62,1.15,177.83,
0.63,-0.15,-0.61,1.1,178.34,
0.63,-0.14,-0.62,1.07,178.96,
0.63,-0.15,-0.62,0.99,179.47,
0.63,-0.15,-0.62,0.92,179.98,
