x,y,z,corriente,tiempo,operador
,,,0,47.24,
0.2,-0.4,-0.14,,47.45,
,,,0,47.65,
0.16,-0.23,-0.15,,47.85,
,,,0,48.26,
0.19,-0.35,-0.11,,48.52,
,,,0,48.88,
0.16,-0.32,-0.1,,49.18,
,,,0,49.39,
0.24,-0.36,-0.1,,49.39,
,,,0,49.70,
0.24,-0.39,-0.15,,50.00,
,,,0,50.20,
0.15,-0.39,-0.1,,50.41,
,,,0,50.71,
0.11,-0.4,-0.1,,50.93,
,,,0,51.23,
0.08,-0.39,-0.06,,51.45,
,,,0,51.74,
0.08,-0.41,-0.07,,51.85,
,,,0,52.15,
0.11,-0.39,-0.13,,52.36,
,,,0,52.66,
0.16,-0.4,-0.13,,52.88,
,,,0,53.19,
0.17,-0.36,-0.15,,53.38,
,,,0,53.79,
0.21,-0.36,-0.13,,53.79,
,,,0,54.20,
0.24,-0.35,-0.15,,54.51,
,,,0,54.64,
0.17,-0.35,-0.06,,54.72,
,,,0,55.23,
0.12,-0.36,-0.1,,55.43,
,,,0,55.63,
0.08,-0.34,-0.06,,55.84,
,,,0,56.26,
0.11,-0.35,-0.09,,56.46,
,,,0,56.76,
0.2,-0.36,-0.09,,56.97,
,,,0,57.18,
0.24,-0.44,-0.1,,57.33,
,,,0,57.79,
0.21,-0.43,-0.14,,58.19,
,,,0,58.41,
0.25,-0.44,-0.11,,58.41,
,,,0,58.67,
0.28,-0.44,-0.11,,58.91,
,,,0,59.15,
0.17,-0.31,-0.13,,59.34,
,,,0,59.73,
0.12,-0.36,-0.1,,59.94,
,,,0,60.20,
0.16,-0.39,-0.1,,60.36,
,,,0,60.72,
0.17,-0.4,-0.1,,60.88,
,,,0,61.17,
0.21,-0.4,-0.11,,61.37,
,,,0,61.67,
0.16,-0.35,-0.14,,61.88,
,,,0,62.19,
0.12,-0.26,-0.1,,62.39,
,,,0,62.70,
0.17,-0.36,-0.1,,62.91,
,,,0,63.21,
0.19,-0.36,-0.1,,63.42,
,,,0,63.64,
0.2,-0.36,-0.11,,63.90,
,,,0,64.23,
0.17,-0.4,-0.09,,64.44,
,,,0,64.75,
0.08,-0.37,-0.09,,64.95,
,,,0,65.16,
0.21,-0.44,-0.18,,65.36,
,,,0,65.77,
0.2,-0.36,-0.14,,65.98,
,,,0,66.17,
0.25,-0.41,-0.14,,66.49,
,,,0,66.70,
0.17,-0.35,-0.13,,67.00,
,,,0,67.41,
0.11,-0.36,-0.1,,67.41,
,,,0,67.72,
0.11,-0.41,-0.1,,68.02,
,,,0,68.23,
0.07,-0.44,-0.09,,68.43,
,,,0,68.75,
0.12,-0.3,-0.1,,68.95,
,,,0,69.25,
0.15,-0.32,-0.1,,69.46,
,,,0,69.77,
0.15,-0.36,-0.1,,69.88,
,,,0,70.17,
0.24,-0.39,-0.18,,70.38,
,,,0,70.68,
0.25,-0.39,-0.13,,70.89,
,,,0,71.20,
0.21,-0.33,-0.13,,71.41,
,,,0,71.75,
0.2,-0.4,-0.1,,71.92,
,,,0,72.22,
0.08,-0.36,-0.1,,72.53,
,,,0,72.74,
0.07,-0.32,-0.09,,73.01,
,,,0,73.21,
0.15,-0.32,-0.14,,73.45,
,,,0,73.66,
-0.02,-0.61,-0.18,,73.86,
,,,0,74.27,
0.25,-0.43,-0.14,,74.49,
,,,0,74.69,
0.2,-0.36,-0.14,,74.89,
,,,0,75.19,
0.21,-0.36,-0.1,,75.40,
,,,0,75.71,
0.12,-0.35,-0.1,,75.91,
,,,0,76.23,
0.15,-0.36,-0.1,,76.42,
,,,0,76.73,
0.21,-0.39,-0.14,,76.94,
,,,0,77.45,
0.21,-0.4,-0.1,,77.45,
,,,0,77.65,
0.13,-0.37,-0.05,,77.86,
,,,0,78.28,
0.08,-0.36,-0.06,,78.52,
,,,0,78.78,
0.17,-0.36,-0.15,,78.99,
,,,0,79.29,
0.25,-0.48,-0.09,,79.59,
,,,0,79.80,
0.21,-0.36,-0.13,,80.22,
,,,0,80.22,
0.19,-0.39,-0.11,,80.43,
,,,0,80.69,
0.16,-0.41,-0.11,,80.93,
,,,0,81.25,
0.2,-0.36,-0.14,,81.44,
,,,0,81.75,
0.12,-0.24,-0.13,,81.98,
,,,0,82.26,
0.16,-0.36,-0.14,,82.47,
,,,0,82.77,
0.17,-0.32,-0.09,,82.97,
,,,0,83.18,
0.12,-0.32,-0.09,,83.39,
,,,0,84.00,
0.04,-0.32,-0.1,,84.01,
,,,0,84.34,
0.11,-0.41,-0.09,,84.34,
,,,0,84.72,
0.24,-0.45,-0.09,,85.08,
,,,0,85.33,
0.21,-0.44,-0.1,,85.33,
,,,0,85.74,
0.2,-0.47,-0.1,,85.95,
,,,0,86.16,
0.19,-0.4,-0.15,,86.36,
,,,0,86.67,
0.11,-0.3,-0.1,,86.87,
,,,0,87.17,
0.12,-0.4,-0.11,,87.39,
,,,0,87.69,
0.21,-0.45,-0.14,,87.87,
,,,0,88.20,
0.24,-0.48,-0.14,,88.31,
,,,0,88.71,
0.19,-0.32,-0.07,,89.02,
,,,0,89.22,
0.16,-0.35,-0.09,,89.43,
,,,0,89.64,
0.19,-0.36,-0.1,,89.84,
,,,0,90.25,
0.23,-0.32,-0.18,,90.46,
,,,0,90.67,
0.16,-0.37,-0.09,,90.86,
,,,0,91.27,
0.12,-0.39,-0.1,,91.47,
,,,0,91.75,
0.16,-0.48,-0.09,,92.09,
,,,0,92.35,
0.08,-0.4,-0.1,,92.35,
,,,0,92.66,
0.15,-0.43,-0.14,,92.91,
,,,0,93.22,
0.19,-0.47,-0.14,,93.42,
,,,0,93.73,
0.19,-0.36,-0.13,,93.93,
,,,0,94.14,
0.21,-0.39,-0.11,,94.34,
,,,0,94.75,
0.25,-0.4,-0.14,,95.01,
,,,0,95.26,
0.21,-0.32,-0.1,,95.47,
,,,0,95.67,
0.12,-0.28,-0.09,,96.08,
,,,0,96.51,
0.12,-0.39,-0.09,,96.51,
,,,0,96.70,
0.12,-0.39,-0.1,,96.81,
,,,0,97.18,
0.19,-0.41,-0.1,,97.41,
,,,0,97.72,
0.21,-0.4,-0.15,,97.88,
,,,0,98.14,
0.24,-0.39,-0.14,,98.44,
,,,0,98.75,
0.21,-0.36,-0.15,,98.95,
,,,0,99.36,
0.28,-0.48,-0.15,,99.47,
,,,0,99.77,
0.21,-0.53,-0.19,,99.97,
,,,0,100.56,
0.3,-0.18,-0.14,,100.56,
,,,0,100.90,
0.04,-0.4,-0.15,,100.90,
,,,0,101.21,
0.19,-0.35,-0.1,,101.41,
,,,0,101.72,
0.17,-0.18,0.03,,102.03,
,,,0,102.23,
0.11,-0.48,-0.13,,102.53,
,,,0,102.75,
0.24,-0.41,-0.18,,103.05,
,,,0,103.25,
0.15,-0.52,-0.18,,103.46,
,,,0,103.77,
0.16,-0.44,-0.18,,104.07,
,,,0,104.28,
0.11,-0.32,-0.07,,104.48,
,,,0,104.79,
0.12,-0.41,-0.11,,104.99,
,,,0,105.30,
0.15,-0.4,-0.1,,105.50,
,,,0,105.74,
0.16,-0.41,-0.1,,106.02,
,,,0,106.43,
0.25,-0.43,-0.14,,106.43,
,,,0,106.73,
0.12,-0.32,-0.1,,106.94,
,,,0,107.25,
0.15,-0.36,-0.14,,107.55,
,,,0,107.71,
0.16,-0.48,-0.1,,108.07,
,,,0,108.27,
0.17,-0.35,-0.13,,108.48,
,,,0,108.76,
0.2,-0.22,-0.13,,108.94,
,,,0,109.19,
0.19,-0.28,-0.09,,109.50,
,,,0,109.70,
0.12,-0.31,-0.06,,109.91,
,,,0,110.22,
0.16,-0.31,-0.05,,110.42,
,,,0,110.73,
0.13,-0.36,-0.11,,110.93,
,,,0,111.24,
0.12,-0.48,-0.14,,111.65,
,,,0,111.76,
0.13,-0.4,-0.14,,111.96,
,,,0,112.26,
0.17,-0.4,-0.11,,112.47,
,,,0,112.68,
0.17,-0.36,-0.09,,112.84,
,,,0,113.29,
0.16,-0.36,-0.11,,113.49,
,,,0,113.80,
0.16,-0.37,-0.11,,113.93,
,,,0,114.29,
0.16,-0.39,-0.13,,114.61,
,,,0,114.93,
0.17,-0.36,-0.11,,114.93,
,,,0,115.23,
0.16,-0.36,-0.1,,115.54,
,,,0,115.74,
0.16,-0.36,-0.1,,115.95,
,,,0,116.56,
0.17,-0.39,-0.1,,116.57,
,,,0,116.77,
0.17,-0.36,-0.1,,116.97,
,,,0,117.30,
0.16,-0.36,-0.11,,117.30,
,,,0,117.69,
0.17,-0.36,-0.1,,117.81,
,,,0,118.20,
0.16,-0.37,-0.1,,118.42,
,,,0,118.71,
0.16,-0.37,-0.1,,119.03,
,,,0,119.33,
0.16,-0.36,-0.1,,119.33,
,,,0,119.64,
0.17,-0.37,-0.11,,119.87,
