x,y,z,tiempo
-0.41,0.58,0.63,108.38
-0.35,0.51,0.69,108.90
-0.18,0.64,0.75,109.41
-0.35,0.86,0.94,109.81
-0.87,0.6,0.8,110.34
-0.96,0.62,0.89,110.94
-0.83,0.59,0.93,111.35
-0.69,0.62,0.8,111.86
-0.61,0.54,0.6,112.38
-0.65,0.39,0.71,112.89
-0.65,0.55,0.67,113.40
-0.62,0.46,0.67,113.91
-0.58,0.45,0.56,114.42
-0.74,0.38,0.69,114.94
-0.66,0.42,0.6,115.35
-0.7,0.47,0.67,115.94
-0.69,0.41,0.63,116.37
-0.71,0.51,0.68,116.88
-0.66,0.46,0.62,117.39
-0.64,0.43,0.67,117.91
-0.62,0.51,0.72,118.42
-0.57,0.51,0.62,118.83
-0.66,0.5,0.68,119.44
-0.62,0.37,0.64,119.86
-0.66,0.55,0.75,120.36
-0.62,0.42,0.59,120.88
-0.74,0.51,0.72,121.39
-0.71,0.45,0.72,121.90
-0.71,0.64,0.8,122.33
-0.58,0.55,0.8,122.88
-0.62,0.51,0.71,123.44
-0.66,0.45,0.68,123.82
-0.56,0.45,0.68,124.51
-0.58,0.59,0.72,124.87
-0.49,0.59,0.72,125.38
-0.52,0.54,0.62,125.89
-0.65,0.5,0.75,126.41
-0.61,0.6,0.76,126.92
-0.54,0.54,0.59,127.34
-0.49,0.67,0.84,127.84
-0.65,0.6,0.79,128.35
-0.57,0.64,0.63,128.86
-0.54,0.51,0.59,129.38
-0.35,0.76,0.98,129.89
-0.5,0.58,0.8,130.40
-0.65,0.5,0.76,130.91
-0.65,0.51,0.71,131.42
-0.62,0.51,0.68,131.84
-0.62,0.54,0.69,132.34
-0.66,0.5,0.67,132.86
-0.66,0.5,0.64,133.37
-0.66,0.49,0.64,133.88
-0.66,0.47,0.67,134.39
-0.66,0.47,0.64,134.91
-0.65,0.5,0.64,135.44
-0.66,0.49,0.64,135.93
-0.66,0.46,0.64,136.44
-0.67,0.47,0.64,136.85
-0.67,0.49,0.64,137.36
-0.69,0.49,0.64,137.87
-0.69,0.49,0.67,138.39
-0.66,0.49,0.67,138.90
-0.66,0.5,0.66,139.41
-0.65,0.47,0.64,139.92
-0.65,0.47,0.64,140.44
-0.65,0.49,0.63,140.95
-0.66,0.47,0.64,141.46
-0.66,0.47,0.64,141.87
-0.66,0.47,0.64,142.38
-0.66,0.47,0.64,142.89
-0.69,0.47,0.64,143.41
-0.69,0.5,0.64,143.92
-0.69,0.47,0.64,144.43
-0.66,0.49,0.67,144.94
-0.66,0.47,0.64,145.45
-0.65,0.49,0.67,145.96
-0.65,0.47,0.64,146.38
-0.66,0.5,0.64,146.86
-0.66,0.47,0.64,147.31
-0.66,0.47,0.64,147.89
-0.66,0.47,0.67,148.42
-0.69,0.47,0.64,148.93
-0.67,0.47,0.64,149.34
-0.66,0.47,0.64,149.96
-0.71,0.46,0.68,150.47
-0.65,0.5,0.64,150.88
-0.66,0.47,0.64,151.37
-0.66,0.49,0.64,151.91
-0.66,0.47,0.64,152.41
-0.69,0.49,0.64,152.93
-0.66,0.47,0.64,153.34
-0.66,0.47,0.64,153.95
-0.69,0.47,0.64,154.46
-0.66,0.47,0.64,154.99
-0.75,0.37,0.94,155.39
-0.65,0.47,0.64,155.90
-0.69,0.43,0.67,156.41
-0.66,0.47,0.64,156.92
-0.66,0.5,0.64,157.43
-0.66,0.5,0.67,157.85
-0.66,0.45,0.64,158.46
-0.66,0.47,0.67,158.87
-0.67,0.47,0.67,159.38
-0.6,0.5,0.68,160.40
-0.23,0.92,1.07,160.93
-0.43,0.75,0.93,161.45
-0.57,0.47,0.75,161.94
-0.79,0.34,0.64,162.35
-0.49,0.62,0.81,162.96
-0.4,0.68,0.77,163.48
-0.7,0.47,0.75,163.89
-0.62,0.51,0.68,164.40
-0.48,0.62,0.8,164.91
-0.28,0.82,0.94,165.42
-0.43,0.79,0.9,165.94
-0.69,0.46,0.58,166.37
-0.61,0.41,0.64,166.96
-0.48,0.73,0.89,167.38
-1,0.51,0.73,167.88
-0.62,0.54,0.72,168.40
-0.7,0.59,0.73,168.90
-0.47,0.58,0.62,169.42
-0.6,0.54,0.64,169.93
-0.71,0.55,0.76,170.35
0.19,0.93,0.88,170.95
-0.66,0.45,0.62,171.38
-0.69,0.41,0.59,171.87
-0.95,0.51,0.76,172.38
-0.3,0.47,0.68,172.90
-0.65,0.47,0.76,173.41
-0.73,0.38,0.64,173.87
-0.32,0.59,0.72,174.43
-0.82,0.45,0.68,174.90
-0.73,0.55,0.71,175.46
-0.58,0.59,0.63,175.97
-0.71,0.5,0.6,176.48
-0.74,0.63,0.77,176.89
-0.53,0.47,0.67,177.40
-0.26,0.63,0.71,177.91
-0.62,0.42,0.63,178.42
-0.53,0.67,0.8,178.93
-0.57,0.5,0.67,179.44
-0.74,0.54,0.68,179.95
