x,y,z,corriente,tiempo,operador
0.25,-0.45,-0.91,3.92,69.68,
0.28,-0.45,-0.91,3.2,70.50,
0.24,-0.44,-0.92,2.56,70.79,
0.25,-0.47,-0.91,2.13,71.09,
0.25,-0.47,-0.91,1.81,72.16,
0.26,-0.45,-0.91,1.6,72.56,
0.25,-0.48,-0.92,1.44,73.15,
0.25,-0.48,-0.91,1.33,73.47,
0.25,-0.48,-0.91,1.27,74.09,
0.25,-0.45,-0.91,1.22,74.50,
0.25,-0.47,-0.91,1.24,75.42,
0.24,-0.48,-0.91,1.3,75.93,
0.24,-0.47,-0.92,1.34,75.96,
0.21,-0.44,-0.92,1.37,76.34,
0.25,-0.45,-0.91,1.37,76.65,
0.25,-0.48,-0.91,1.37,77.36,
0.25,-0.48,-0.91,1.37,77.51,
0.25,-0.45,-0.91,1.37,78.04,
0.25,-0.47,-0.91,1.37,78.90,
0.25,-0.47,-0.91,1.39,79.12,
0.25,-0.48,-0.91,1.41,79.61,
